HIP_ID,R,R_err_lwr,R_err_upr,P_avg,P_err,vsini,vsini_err_upr,vsini_err_lwr
HIP-26394,1.1488,0.0223,0.0314,,,3.14,0.5,-0.5
HIP-26394,1.1488,0.0223,0.0314,,,3.34,0.07,-0.07
HIP-26394,1.1488,0.0223,0.0314,,,3.3,0.5,-0.5
HIP-26394,1.1488,0.0223,0.0314,,,3.16,0.27,-0.27
HIP-26779,0.8232,0.0233,0.0363,,1.751215393602468,,,
HIP-27072,1.3865,0.0432,0.0425,40.512242918669486,27.782434262583916,,,
HIP-27072,1.3865,0.0432,0.0425,40.512242918669486,27.782434262583916,,,
HIP-27435,0.8869,0.0264,0.0273,,,,,
HIP-29271,1.0197,0.0228,0.0327,8.040993168163036,0.07335468640369563,,,
HIP-29650,1.3745,0.0311,0.0594,4.109691450728676,0.3472596221852707,,,
HIP-29800,1.3373,0.0273,0.0496,2.6121559072129776,0.03586883729145142,,,
HIP-32439,1.1879,0.0361,0.0292,,,,,
HIP-32480,1.2332,0.0366,0.0278,,,,,
HIP-32984,0.7337,0.0212,0.025,,,,,
HIP-33277,1.0683,0.0216,0.0295,,,,,
HIP-34065,1.188,0.0245,0.0305,,,,,
HIP-35136,1.1211,0.0271,0.0316,,,,,
HIP-36439,1.3035,0.0421,0.0277,,,,,
HIP-38423,,,,1.4227948472718364,0.00305680449384682,,,
HIP-38908,1.022,0.0266,0.0262,6.583542424496405,2.299717065704126,,,
HIP-40693,0.8747,0.0268,0.0306,,,1.1,0.5,-1.1
HIP-40843,1.2949,0.0207,0.0363,,,,,
HIP-114948,1.2106,0.0324,0.0195,2.0805033314164527,0.012613075857203108,,,
HIP-116771,1.6402,0.0443,0.0338,,1.5425161621185772,,,
